invoice_number,csv_amount,bq_amount,state,start_date,end_date,_merge,category,amount_diff
INV-108384,946.0,946.44,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.44
INV-108385,262.0,262.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108386,305.0,305.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108387,50.0,50.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108388,40.0,40.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108389,794.0,793.97,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.03
INV-108390,15.0,15.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108391,776.0,776.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108392,26.0,26.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108393,30.0,30.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108394,28.0,28.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108395,243.0,243.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108396,215.0,215.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108397,20.0,20.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108398,159.0,159.43,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.43
INV-108399,377.0,377.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108400,109.0,109.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108401,20.0,20.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108402,1705.0,1704.95,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.05
INV-108403,17.0,17.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108404,234.0,234.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108405,232.0,232.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108406,99.0,99.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108407,1805.0,1805.34,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.34
INV-108408,53.0,53.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108409,1895.0,1894.73,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.27
INV-108410,54.0,54.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108411,660.0,659.88,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.12
INV-108412,1475.0,1475.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108413,32.0,32.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108414,214.0,214.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108415,1125.0,1125.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108416,77.0,77.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108417,1652.0,1651.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108418,53.0,53.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108419,640.0,640.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108420,17.0,17.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108421,939.0,938.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
INV-108422,15.0,15.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108423,224.0,224.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108424,1042.0,1042.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108425,22.0,22.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108426,580.0,579.63,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.37
INV-108427,1001.0,1001.01,paid,2025-08-01,2025-08-16,both,MATCHED,-0.01
INV-108428,372.0,371.98,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.02
INV-108429,117.0,117.0,paid,2025-08-01,2025-08-16,both,MATCHED,0.0
INV-108430,1296.0,1296.25,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,-0.25
INV-108431,819.0,818.5,paid,2025-08-01,2025-08-16,both,AMOUNT_MISMATCH,0.5
